id	source_pr	source_head	path	hunk_header	disposition	child_ids	rationale	owning_test
139-H001	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	.gitignore	@@ -16,0 +17,3 @@ tests/.tmp-*/	drop	-	Unrelated artifact or xAI test churn; source provenance remains in immutable ref.	git diff --check
139-H002	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/package.json	@@ -10 +10 @@	rewrite	100	Global style/lint integration has one owner after component-scoped styles land.	bun run --cwd gui lint && bun run --cwd gui build
139-H003	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -1 +1 @@	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H004	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -9 +8,0 @@ import Usage from "./pages/Usage";	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H005	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -12 +11 @@ import ClaudeCode from "./pages/ClaudeCode";	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H006	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -19 +18 @@ installApiAuthFetch();	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H007	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -22 +21 @@ type Theme = "light" | "dark" | "system";	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H008	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -24 +23 @@ const VALID_PAGES = new Set<Page>(["dashboard", "providers", "models", "subagent	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H009	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -26 +25,4 @@ function readPageFromHash(): Page {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H010	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -40 +41,0 @@ const NAV: { id: Page; tkey: TKey; Icon: typeof IconGrid }[] = [	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H011	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -60 +61,3 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H012	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -74 +77,9 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H013	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -78,0 +90,7 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H014	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -81 +99 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H015	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -108,0 +127,2 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H016	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -250 +270 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H017	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -252 +272,7 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H018	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/App.tsx	@@ -258 +283,0 @@ export default function App() {	rewrite	080	Introduce workspace route, navigation and rail shell only.	bun run --cwd gui lint && bun run --cwd gui build
139-H019	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/codex-quota-utils.ts	@@ -2,0 +3 @@ export interface AccountQuota {	retain	020	Provider quota normalization and reset-window contract.	bun test tests/provider-quota.test.ts tests/rate-limit-reset-credits.test.ts
139-H020	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/codex-quota-utils.ts	@@ -4,0 +6 @@ export interface AccountQuota {	retain	020	Provider quota normalization and reset-window contract.	bun test tests/provider-quota.test.ts tests/rate-limit-reset-credits.test.ts
139-H021	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -2 +2 @@ import { useEffect, useRef, useState } from "react";	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H022	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -27,0 +28,15 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H023	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -79,0 +95,65 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H024	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -81,2 +161,2 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H025	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -88 +168 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H026	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -89,0 +170 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H027	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -93,2 +174,3 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H028	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -96,55 +178,6 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H029	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -151,0 +185,10 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H030	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -154 +197,3 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H031	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -156,3 +201,5 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H032	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -164 +211 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H033	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -166 +213 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H034	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddCodexAccountModal.tsx	@@ -173,3 +220,5 @@ export default function AddCodexAccountModal({	rewrite	060	Embed Codex account management without duplicating OAuth/account state owners.	bun run --cwd gui lint && bun run --cwd gui build
139-H035	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -2,2 +2,2 @@ import { useEffect, useMemo, useRef, useState } from "react";	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H036	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -4,0 +5,4 @@ import { buildProviderPayload, type ProviderPayload } from "../provider-payload"	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H037	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -21 +25 @@ interface Preset {	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H038	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -22,0 +27,2 @@ interface Preset {	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H039	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -33,0 +40,8 @@ interface FormState {	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
139-H040	139	d209dfd5dfdf6286c53fafd45d9cb3475696eab8	gui/src/components/AddProviderModal.tsx	@@ -35 +49,15 @@ export default function AddProviderModal({	rewrite	050	Decompose preset catalog/data from modal rendering; preserve one add-provider behavior per module.	bun run --cwd gui lint && bun run --cwd gui build
